LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709251379.174326,1307720,21880,1,SR,1,100,1.200000
1709251382.574208,1311120,22408,1,SR,1,100,1.066667
1709251424.701751,1353249,29120,1,SR,1,100,0.400000
1709251446.831985,1375380,32722,1,SR,1,100,0.666667
1709251475.561991,1404111,37358,1,SR,1,100,0.800000
1709251484.694675,1413244,38752,1,SR,1,100,0.266667
1709251485.094661,1413644,38802,1,SR,1,100,0.200000
1709251486.093626,1414643,39100,1,SR,1,100,1.000000
1709251498.826186,1427376,41139,1,SR,1,100,1.000000
1709251517.356545,1445907,44151,1,SR,1,100,1.133333
1709251526.822217,1455373,45555,1,SR,1,100,0.333333
1709251527.688187,1456239,45775,1,SR,1,100,0.933333
1709251530.088104,1458639,46058,1,SR,1,100,0.266667
1709251553.351299,1481903,49803,1,SR,1,100,0.200000
