LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1709252674.331021,2602890.000,43996,1,B%,1,100,29
1709252679.331152,2607890.000,44768,1,B%,1,100,29
1709252684.330282,2612889.000,45564,1,B%,1,100,29
1709252689.330413,2617889.000,46315,1,B%,1,100,28
1709252694.329543,2622888.000,47127,1,B%,1,100,29
1709252699.329674,2627888.000,47920,1,B%,1,100,29
1709252704.328804,2632887.000,48713,1,B%,1,100,29
1709252709.328935,2637887.000,49524,1,B%,1,100,29
1709252714.328066,2642886.000,50317,1,B%,1,100,28
1709252719.328196,2647886.000,51125,1,B%,1,100,28
1709252724.327327,2652885.000,51936,1,B%,1,100,28
1709252729.327457,2657885.000,52730,1,B%,1,100,28
1709252734.326588,2662884.000,53543,1,B%,1,100,28
1709252739.326719,2667884.000,54351,1,B%,1,100,28
1709252744.325849,2672883.000,55147,1,B%,1,100,28
1709252749.325980,2677883.000,55956,1,B%,1,100,28
1709252754.325110,2682882.000,56750,1,B%,1,100,28
1709252759.325241,2687882.000,57563,1,B%,1,100,28
1709252764.324372,2692881.000,58380,1,B%,1,100,28
1709252769.324502,2697881.000,59187,1,B%,1,100,28
1709252774.323633,2702880.000,59984,1,B%,1,100,28
1709252779.323763,2707880.000,60779,1,B%,1,100,28
1709252784.322894,2712879.000,61597,1,B%,1,100,28
1709252789.323025,2717879.000,62409,1,B%,1,100,28
1709252794.322155,2722878.000,63206,1,B%,1,100,28
1709252799.322286,2727878.000,64017,1,B%,1,100,28
1709252804.321416,2732877.000,64832,1,B%,1,100,28
1709252809.321547,2737877.000,109,1,B%,1,100,28
1709252814.320677,2742876.000,906,1,B%,1,100,28
1709252819.320808,2747876.000,1707,1,B%,1,100,28
1709252824.319938,2752875.000,2506,1,B%,1,100,28
1709252829.320069,2757875.000,3327,1,B%,1,100,27
1709252834.319200,2762874.000,4153,1,B%,1,100,28
1709252839.319330,2767874.000,4959,1,B%,1,100,28
1709252844.318461,2772873.000,5783,1,B%,1,100,28
1709252849.318591,2777873.000,6591,1,B%,1,100,27
